,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
The number of lawyers in New York (Lawyers),66950,67680,66880,65070,65640,67210,68640,71150,72100,72760,73560,76840,77060,76660,81890,86230
Google searches for 'how to learn python' (Rel. search volume),5.58333,5.41667,6.5,6.66667,11.4167,13.5,17.75,22,28,29.4167,43.25,48.6667,53.5833,66.1667,55.25,89.1667
