month,pokemon,usage,raw_count,real_usage,total_battles,usage_pct
2021-01,Eldegoss,0.0024337,5022.0,0.00278355298201,1804169,0.24337
2021-01,Electivire,0.0002203,16135.0,0.008943175500743,1804169,0.022029999999999998
2021-01,Entei,0.0003252,13137.0,0.0072814686429042,1804169,0.03252
2021-01,Espeon,0.000221,33023.0,0.0183037176672473,1804169,0.0221
2021-01,Excadrill,0.1204549,360758.0,0.1999579861975236,1804169,12.045490000000001
2021-01,Exeggutor-Alola,0.0002106,5048.0,0.0027979640488224,1804169,0.02106
2021-01,Exploud,0.0051435,16100.0,0.0089237759877262,1804169,0.51435
2021-01,Ferrothorn,0.1536628,652290.0,0.3615459527350265,1804169,15.36628
2021-01,Flareon,0.0004272,6212.0,0.003443136424581,1804169,0.042719999999999994
2021-01,Flygon,0.0011326,16262.0,0.0090135680194039,1804169,0.11326000000000001
2021-01,Froslass,0.0004522,10908.0,0.0060459967996346,1804169,0.045219999999999996
2021-01,Frosmoth,0.0001071,9421.0,0.005221794632321,1804169,0.01071
2021-01,Gallade,0.0002957,9797.0,0.0054302008293014,1804169,0.02957
2021-01,Galvantula,0.000486,39987.0,0.0221636664857893,1804169,0.0486
2021-01,Garchomp,0.207679,606734.0,0.3362955465923646,1804169,20.7679
2021-01,Gardevoir,0.0012989,38333.0,0.0212469009277955,1804169,0.12989
2021-01,Gastrodon,0.0160905,47792.0,0.0264897578885348,1804169,1.60905
2021-01,Gengar,0.0038751,124601.0,0.0690628206115945,1804169,0.38750999999999997
2021-01,Gigalith,0.0002309,10294.0,0.0057056739141399,1804169,0.02309
2021-01,Glastrier,0.0039926,27976.0,0.0155063078902253,1804169,0.39926
2021-01,Golisopod,0.0012072,15108.0,0.0083739383616501,1804169,0.12072000000000001
2021-01,Golurk,0.0008076,11729.0,0.0065010539478286,1804169,0.08076
2021-01,Goodra,0.0006112,30584.0,0.0169518487458769,1804169,0.06112
