pokemon,usage,raw_usage,real_usage,total_battles
Noivern,0.003508,10901.0,0.007796324334530329,1398223.0
Persian,0.000643,2002.0,0.0014318173853526941,1398223.0
Celesteela,0.0165574,49663.0,0.03551865474963579,1398223.0
Skuntank,0.0005224,1661.0,0.0011879364021332793,1398223.0
Guzzlord,0.000899,2780.0,0.001988237927712532,1398223.0
Squirtle,0.0001126,382.0,0.0002732039166856789,1398223.0
Exploud,0.0021016,6435.0,0.004602270167205088,1398223.0
Whirlipede,0.0001026,312.0,0.000223140371743277,1398223.0
Archen,0.0001334,470.0,0.00033614094461326984,1398223.0
Urshifu-Rapid-Strike,0.0988694,295993.0,0.21169226940194805,1398223.0
Seismitoad,0.0183039,55118.0,0.03942003528764725,1398223.0
Bewear,0.0023787,7361.0,0.0052645393474431475,1398223.0
Zamazenta-Crowned,0.070168,207187.0,0.1481787955140203,1398223.0
Silvally-Ghost,0.000196,596.0,0.00042625532550959324,1398223.0
Wooper,0.0001502,492.0,0.00035187520159516756,1398223.0
Alakazam,0.020029,61130.0,0.043719778604700395,1398223.0
Dragalge,0.0021863,6706.0,0.004796087605482101,1398223.0
Cherrim,0.0004398,1326.0,0.0009483465799089273,1398223.0
Carbink,0.0005257,1850.0,0.0013231079734777643,1398223.0
Darmanitan,0.0112511,34279.0,0.024516117958294205,1398223.0
Turtonator,0.0015877,4835.0,0.0034579605685216164,1398223.0
Reuniclus,0.0132633,39574.0,0.02830306753643732,1398223.0
Druddigon,0.0026212,7881.0,0.005636439967015276,1398223.0
Tapu Koko,0.1255458,373893.0,0.2674058429878496,1398223.0
Rhydon,0.0010063,3120.0,0.00223140371743277,1398223.0
Greedent,0.000767,2392.0,0.0017107428500317903,1398223.0
Drampa,0.0012934,3914.0,0.002799267355779443,1398223.0
Rotom-Mow,0.002948,9429.0,0.006743559503741535,1398223.0
Sandslash-Alola,0.005197,15702.0,0.01122996832407992,1398223.0
Torkoal,0.0198649,59746.0,0.042729950801839195,1398223.0
Gloom,0.0001223,367.0,0.0002624760141980213,1398223.0
Regigigas,0.0023201,7155.0,0.0051172094866126505,1398223.0
Tentacruel,0.0069034,21010.0,0.01502621541771234,1398223.0
Lickilicky,0.0007674,2383.0,0.001704306108539196,1398223.0
Tapu Fini,0.0717593,215119.0,0.1538517103494936,1398223.0
Necrozma,0.003851,11598.0,0.008294814203456817,1398223.0
Goodra,0.0088148,27131.0,0.019403914826175796,1398223.0
Vespiquen,0.000476,1485.0,0.0010620623462780972,1398223.0
Unfezant,0.0005389,1653.0,0.0011822148541398617,1398223.0
Gourgeist-Small,0.0001559,468.0,0.0003347105576149155,1398223.0
Rillaboom,0.1568831,467139.0,0.33409477601212395,1398223.0
Gourgeist,0.0001134,354.0,0.00025317849870871816,1398223.0
Copperajah,0.0010402,3211.0,0.0022964863258578927,1398223.0
Larvesta,0.0001033,329.0,0.0002352986612292889,1398223.0
Solrock,0.0002017,610.0,0.00043626803449807363,1398223.0
Aegislash,0.0358763,108238.0,0.07741111396393852,1398223.0
Lycanroc-Midnight,0.0011904,3771.0,0.0026969946853971074,1398223.0
Trevenant,0.0021399,6646.0,0.004753175995531471,1398223.0
Octillery,0.0003469,1124.0,0.0008038774930751389,1398223.0
Electabuzz,0.0001559,479.0,0.0003425776861058644,1398223.0
Treecko,0.000128,453.0,0.00032398265512725795,1398223.0
Pikachu,0.0033378,10726.0,0.007671165472174324,1398223.0
Zoroark,0.0065783,20291.0,0.014511991291803954,1398223.0
Jynx,0.0005972,1825.0,0.001305228135998335,1398223.0
Galvantula,0.0097202,29765.0,0.02128773450300846,1398223.0
Hitmonchan,0.0009991,3078.0,0.002201365590467329,1398223.0
Clefable,0.1294929,388019.0,0.27750866635722626,1398223.0
Sigilyph,0.0025211,7673.0,0.0054876797191864245,1398223.0
Qwilfish,0.0008268,2534.0,0.0018123003269149484,1398223.0
Latios,0.0353045,105374.0,0.0753627997822951,1398223.0
Claydol,0.0019786,6007.0,0.004296167349557259,1398223.0
Sudowoodo,0.0002614,815.0,0.0005828827018293935,1398223.0
