pokemon,number_of_battles,Raw count,usage,Viability Ceiling
Porygon-Z,1336739,26122,0.002627,"[2000, 87, 75, 59]"
Mandibuzz,1336739,165990,0.0409013,"[11833, 89, 80, 63]"
Weezing,1336739,4996,0.0002463,"[483, 78, 66, 55]"
Bronzong,1336739,15661,0.0033944,"[1369, 87, 78, 60]"
Volcarona,1336739,366828,0.1072547,"[22360, 90, 79, 62]"
Accelgor,1336739,10692,0.0002604,"[870, 78, 75, 55]"
Raichu-Alola,1336739,15396,0.0010748,"[1414, 88, 76, 57]"
Thundurus,1336739,8891,0.0010022,"[851, 85, 77, 58]"
Toxicroak,1336739,15264,0.0005321,"[1206, 86, 74, 55]"
Trubbish,1336739,141,0.0001121,"[21, 80, 80, 47]"
Stoutland,1336739,3129,0.0001287,"[326, 75, 69, 55]"
Archeops,1336739,5836,0.0001393,"[579, 75, 71, 55]"
Snorlax,1336739,37110,0.0074846,"[3344, 87, 77, 56]"
Uxie,1336739,9254,0.0002366,"[721, 85, 72, 56]"
Regirock,1336739,6480,0.0001115,"[737, 75, 68, 53]"
Hitmonlee,1336739,11985,0.0005248,"[933, 83, 70, 55]"
Dusknoir,1336739,6306,0.0002066,"[562, 79, 66, 55]"
Barraskewda,1336739,83461,0.0140744,"[6032, 87, 78, 62]"
Mimikyu,1336739,42853,0.0008495,"[3247, 78, 70, 55]"
Duraludon,1336739,4862,0.0001116,"[590, 82, 71, 54]"
Machamp,1336739,12921,0.0001873,"[1197, 79, 69, 55]"
Cresselia,1336739,15459,0.0141535,"[1307, 89, 82, 63]"
Xurkitree,1336739,19253,0.0006998,"[1683, 80, 73, 58]"
Eiscue,1336739,5597,0.0002432,"[527, 84, 68, 55]"
Carbink,1336739,1588,0.000177,"[180, 76, 73, 52]"
Mew,1336739,98881,0.054634,"[6661, 89, 82, 63]"
Blaziken,1336739,143817,0.0121007,"[9825, 88, 74, 58]"
Diggersby,1336739,16387,0.0044327,"[1353, 87, 80, 61]"
Weezing-Galar,1336739,17150,0.0023092,"[1491, 87, 79, 59]"
Articuno-Galar,1336739,7263,0.000279,"[838, 83, 74, 56]"
Silvally-Poison,1336739,266,0.0001887,"[44, 86, 86, 63]"
Garchomp,1336739,435316,0.1777417,"[27082, 93, 80, 62]"
Pincurchin,1336739,7157,0.0001382,"[688, 73, 70, 55]"
Slurpuff,1336739,23440,0.0008786,"[1581, 85, 73, 58]"
Comfey,1336739,10603,0.0001658,"[874, 80, 73, 57]"
Ferrothorn,1336739,444117,0.1793012,"[26174, 90, 79, 62]"
Krookodile,1336739,39622,0.0023332,"[3618, 82, 73, 58]"
Zapdos-Galar,1336739,93520,0.0213858,"[6715, 88, 79, 62]"
Kommo-o,1336739,66492,0.0238945,"[4479, 90, 81, 61]"
Darmanitan,1336739,35843,0.0020581,"[2888, 85, 74, 59]"
Milotic,1336739,31538,0.0006894,"[2467, 81, 71, 55]"
Ditto,1336739,56583,0.0131932,"[4074, 86, 78, 58]"
Flygon,1336739,13329,0.0038595,"[1155, 83, 77, 55]"
Marowak-Alola,1336739,34531,0.0152516,"[2680, 89, 79, 61]"
Toxapex,1336739,286254,0.2051993,"[20243, 90, 82, 62]"
Dhelmise,1336739,6848,0.0003175,"[692, 80, 75, 58]"
Latias,1336739,35008,0.0084471,"[2722, 88, 79, 61]"
Landorus-Therian,1336739,810500,0.4896242,"[38152, 91, 81, 64]"
Bisharp,1336739,238743,0.0927262,"[16293, 90, 80, 62]"
Toxtricity,1336739,25556,0.0066241,"[2325, 88, 80, 57]"
Kyurem,1336739,251282,0.0805329,"[15680, 89, 81, 64]"
Lucario,1336739,34594,0.000432,"[3435, 78, 69, 55]"
Sirfetch'd,1336739,12180,0.000457,"[1184, 80, 73, 56]"
Aurorus,1336739,6330,0.0010326,"[564, 85, 74, 58]"
Mantine,1336739,9516,0.0012412,"[825, 85, 77, 59]"
Frosmoth,1336739,6428,0.0001777,"[572, 84, 71, 55]"
Nidoqueen,1336739,8576,0.0012983,"[814, 88, 77, 58]"
Cinccino,1336739,9696,0.0001214,"[841, 78, 72, 55]"
Regidrago,1336739,13095,0.0009706,"[1338, 88, 74, 56]"
Sharpedo,1336739,10340,0.0005082,"[865, 79, 73, 55]"
Scolipede,1336739,18841,0.0013279,"[1494, 88, 75, 55]"
Aggron,1336739,13695,0.0001871,"[1224, 80, 69, 54]"
Slowbro,1336739,168297,0.0452259,"[12187, 90, 80, 62]"
Heliolisk,1336739,13044,0.0002666,"[1161, 77, 70, 56]"
Celebi,1336739,6207,0.0001253,"[713, 79, 73, 56]"
Arcanine,1336739,27352,0.0009667,"[2491, 82, 70, 55]"
Omastar,1336739,8999,0.0036953,"[759, 88, 83, 59]"
Corsola-Galar,1336739,17894,0.0003798,"[1511, 79, 67, 56]"
Pyukumuku,1336739,9583,0.0008019,"[782, 83, 75, 56]"
Victini,1336739,97891,0.033051,"[6677, 88, 81, 64]"
Cofagrigus,1336739,7667,0.0001071,"[648, 74, 69, 55]"
Venusaur,1336739,72164,0.0091289,"[5492, 88, 76, 59]"
Scrafty,1336739,9254,0.0005479,"[741, 85, 68, 55]"
Diancie,1336739,7970,0.0001707,"[806, 83, 72, 55]"
Magnezone,1336739,159484,0.0794026,"[11767, 89, 82, 64]"
Rhyperior,1336739,23619,0.0046415,"[2229, 88, 76, 59]"
Latios,1336739,75089,0.0339426,"[5397, 89, 79, 62]"
Durant,1336739,8605,0.0003284,"[771, 86, 74, 55]"
Tapu Bulu,1336739,30866,0.0172994,"[2562, 87, 82, 64]"
Incineroar,1336739,34495,0.0054187,"[3056, 88, 75, 55]"
Moltres-Galar,1336739,29905,0.0201313,"[2332, 88, 82, 60]"
Araquanid,1336739,26215,0.0016972,"[1802, 84, 74, 59]"
Moltres,1336739,44539,0.0117721,"[3482, 89, 78, 62]"
Cloyster,1336739,110894,0.0355525,"[6622, 88, 79, 61]"
Tauros,1336739,8844,0.0003169,"[771, 79, 72, 57]"
Klefki,1336739,22342,0.0028588,"[1838, 86, 76, 57]"
Togekiss,1336739,68973,0.0066393,"[5564, 86, 76, 58]"
Piloswine,1336739,3011,0.0001537,"[214, 79, 76, 59]"
Dracozolt,1336739,67715,0.01151,"[5232, 87, 78, 62]"
Salamence,1336739,50433,0.0042072,"[3992, 87, 76, 58]"
Arctozolt,1336739,18052,0.005703,"[1293, 88, 81, 64]"
Metagross,1336739,33735,0.0008672,"[3027, 86, 70, 55]"
Haxorus,1336739,25712,0.003282,"[2202, 87, 78, 57]"
Vikavolt,1336739,7508,0.0001813,"[674, 78, 72, 56]"
Marowak,1336739,4783,0.0016934,"[417, 88, 75, 57]"
Glaceon,1336739,9181,0.0002631,"[758, 77, 72, 56]"
Leafeon,1336739,10572,0.0008753,"[1073, 85, 76, 56]"
Wigglytuff,1336739,4446,0.0001379,"[373, 81, 77, 55]"
Porygon2,1336739,37420,0.0128285,"[2768, 89, 77, 61]"
Melmetal,1336739,233347,0.1337509,"[15468, 90, 81, 63]"
Crawdaunt,1336739,58594,0.0276765,"[4198, 89, 80, 64]"
Crobat,1336739,18849,0.0008451,"[1692, 79, 70, 55]"
Mamoswine,1336739,91722,0.0154325,"[5751, 89, 78, 62]"
Goodra,1336739,25137,0.0002536,"[1783, 81, 68, 55]"
Tyrantrum,1336739,9666,0.0007586,"[914, 85, 77, 59]"
Starmie,1336739,19949,0.0025487,"[1505, 86, 76, 59]"
Chansey,1336739,64172,0.0328914,"[4879, 90, 80, 61]"
Cosmoem,1336739,73,0.0001486,"[26, 86, 86, 61]"
Celesteela,1336739,46365,0.0079956,"[3205, 89, 78, 61]"
Hippowdon,1336739,122633,0.0863962,"[9825, 89, 82, 62]"
Centiskorch,1336739,7911,0.0004373,"[745, 79, 72, 53]"
Morpeko,1336739,6991,0.000164,"[710, 76, 70, 56]"
Blissey,1336739,248900,0.1140804,"[17155, 90, 80, 62]"
Slowbro-Galar,1336739,27143,0.0020183,"[2057, 84, 76, 59]"
Politoed,1336739,14675,0.0001501,"[1236, 82, 68, 55]"
Meowstic,1336739,5239,0.0004104,"[405, 80, 73, 55]"
