pokemon,number_of_battles,Raw count,usage,Viability Ceiling
Kabutops,1336739,7436,0.0001211,"[631, 76, 74, 56]"
Buzzwole,1336739,81490,0.0769695,"[5494, 89, 83, 66]"
Relicanth,1336739,1283,0.0001683,"[147, 84, 83, 55]"
Exploud,1336739,7548,0.0015051,"[675, 88, 79, 60]"
Sylveon,1336739,25614,0.0027506,"[2094, 88, 74, 55]"
Decidueye,1336739,8316,0.0001273,"[953, 75, 70, 54]"
Steelix,1336739,10677,0.0014444,"[1137, 85, 74, 56]"
Amoonguss,1336739,39728,0.0193209,"[3469, 89, 78, 60]"
Urshifu-Rapid-Strike,1336739,375839,0.151413,"[22522, 93, 80, 63]"
Seismitoad,1336739,42877,0.0118208,"[3413, 88, 80, 61]"
Aron,1336739,5480,0.0001564,"[576, 75, 69, 54]"
Lanturn,1336739,5741,0.0001817,"[562, 78, 69, 54]"
Flapple,1336739,2924,0.0001654,"[333, 80, 76, 55]"
Blacephalon,1336739,106440,0.0292395,"[6825, 89, 80, 63]"
Rotom-Wash,1336739,99394,0.0316507,"[7112, 90, 81, 62]"
Pelipper,1336739,140387,0.0253461,"[9848, 88, 78, 61]"
Avalugg,1336739,6381,0.0003843,"[637, 81, 76, 58]"
Talonflame,1336739,13485,0.0002696,"[1303, 79, 71, 54]"
Scyther,1336739,5299,0.0001932,"[638, 78, 68, 54]"
Lycanroc,1336739,4509,0.0002009,"[508, 79, 73, 57]"
Umbreon,1336739,63887,0.0108704,"[4544, 87, 77, 60]"
Alakazam,1336739,60246,0.0117629,"[5102, 87, 76, 58]"
Dragalge,1336739,6547,0.0008026,"[685, 86, 76, 57]"
Heracross,1336739,17261,0.000776,"[1686, 81, 74, 56]"
Blastoise,1336739,27675,0.0013795,"[2317, 87, 71, 55]"
Palossand,1336739,4619,0.0003168,"[520, 81, 70, 55]"
Togedemaru,1336739,16245,0.0001506,"[1239, 75, 68, 53]"
Pangoro,1336739,5680,0.000623,"[531, 83, 77, 57]"
Quagsire,1336739,40307,0.0130914,"[3080, 89, 79, 59]"
Jolteon,1336739,16693,0.000167,"[1559, 79, 68, 55]"
Stunfisk-Galar,1336739,1089,0.0001852,"[114, 84, 81, 51]"
Dragonite,1336739,266757,0.1231959,"[17986, 89, 81, 62]"
Zarude,1336739,12568,0.0037926,"[1387, 88, 81, 60]"
Gyarados,1336739,58736,0.0027095,"[4599, 86, 73, 57]"
Zygarde-10%,1336739,14783,0.0015776,"[1250, 86, 79, 60]"
Turtonator,1336739,3769,0.0001414,"[427, 79, 72, 55]"
Vaporeon,1336739,15727,0.0004117,"[1248, 80, 72, 55]"
Chandelure,1336739,29911,0.0002902,"[2521, 76, 67, 55]"
Froslass,1336739,11100,0.0002636,"[849, 82, 72, 56]"
Reuniclus,1336739,31433,0.014611,"[2426, 89, 82, 63]"
Ribombee,1336739,23356,0.0019823,"[1792, 87, 77, 59]"
Heatran,1336739,442787,0.2144906,"[25293, 89, 81, 64]"
Barbaracle,1336739,5166,0.0004366,"[487, 85, 76, 56]"
Druddigon,1336739,20642,0.0031121,"[1406, 83, 76, 59]"
Dragapult,1336739,616223,0.2153032,"[35978, 91, 80, 62]"
Terrakion,1336739,38384,0.0131108,"[3221, 88, 78, 62]"
Rhydon,1336739,5128,0.0001647,"[323, 78, 74, 54]"
Gardevoir,1336739,34283,0.0009849,"[2582, 86, 69, 54]"
Regieleki,1336739,173525,0.0193042,"[13672, 88, 75, 59]"
Conkeldurr,1336739,65886,0.0177467,"[5033, 87, 76, 60]"
Vileplume,1336739,7575,0.0002737,"[582, 79, 74, 55]"
Slowking,1336739,167446,0.0859323,"[12262, 89, 82, 65]"
Drampa,1336739,3697,0.0008147,"[298, 85, 82, 55]"
Stunfisk,1336739,2493,0.0007219,"[253, 85, 78, 60]"
Rotom-Mow,1336739,7230,0.0001949,"[739, 76, 69, 55]"
Audino,1336739,3979,0.0018268,"[370, 84, 76, 57]"
Hawlucha,1336739,184560,0.0334902,"[12492, 88, 78, 61]"
Sandslash-Alola,1336739,7837,0.0016778,"[773, 86, 77, 57]"
Roserade,1336739,17112,0.0002906,"[1550, 79, 71, 55]"
Drapion,1336739,15610,0.0024885,"[1360, 84, 72, 55]"
Torkoal,1336739,67963,0.0084081,"[4796, 88, 77, 60]"
Excadrill,1336739,208552,0.0316247,"[16334, 88, 77, 60]"
Polteageist,1336739,27860,0.0023557,"[1796, 88, 78, 59]"
Bewear,1336739,6991,0.000273,"[676, 81, 74, 56]"
Whimsicott,1336739,21832,0.0004444,"[1861, 80, 70, 55]"
Grimmsnarl,1336739,76857,0.0042128,"[5681, 86, 75, 58]"
Magneton,1336739,2666,0.0008998,"[265, 83, 73, 56]"
Regigigas,1336739,5925,0.0007299,"[784, 84, 70, 54]"
Arctovish,1336739,8119,0.000576,"[671, 82, 76, 59]"
Tentacruel,1336739,27845,0.0008523,"[2224, 81, 71, 56]"
Lickilicky,1336739,2374,0.0001374,"[192, 79, 77, 57]"
Zeraora,1336739,264989,0.1305048,"[17711, 89, 81, 62]"
Gengar,1336739,123437,0.0144517,"[9425, 89, 75, 58]"
Swampert,1336739,192601,0.0371912,"[14418, 90, 78, 61]"
Corviknight,1336739,464874,0.2508758,"[28557, 93, 81, 63]"
Tapu Fini,1336739,228447,0.203359,"[14260, 90, 82, 64]"
Sableye,1336739,11353,0.0004845,"[1052, 77, 70, 55]"
Slowking-Galar,1336739,178634,0.1105683,"[12621, 93, 82, 64]"
Primarina,1336739,34503,0.0065324,"[2798, 87, 78, 60]"
Necrozma,1336739,12422,0.0027327,"[998, 87, 81, 59]"
Eldegoss,1336739,3788,0.000485,"[286, 80, 78, 55]"
Golurk,1336739,9563,0.0019124,"[897, 85, 80, 58]"
Suicune,1336739,18364,0.0091591,"[1450, 87, 82, 63]"
Indeedee,1336739,10090,0.0002689,"[830, 83, 72, 56]"
Scizor,1336739,145358,0.0570488,"[10603, 88, 81, 63]"
Nidoking,1336739,183028,0.0355798,"[13034, 89, 78, 61]"
Zapdos,1336739,270153,0.0951794,"[16397, 90, 80, 64]"
Cobalion,1336739,6545,0.0007186,"[577, 82, 80, 58]"
Rillaboom,1336739,386003,0.1036166,"[23891, 88, 79, 63]"
Keldeo,1336739,39105,0.0109365,"[2932, 89, 81, 63]"
Raikou,1336739,9583,0.001009,"[926, 85, 76, 58]"
Tapu Lele,1336739,225197,0.1233222,"[14525, 90, 81, 64]"
Gastrodon,1336739,36894,0.0220758,"[2931, 88, 81, 61]"
Tapu Koko,1336739,285423,0.1404837,"[18395, 90, 81, 63]"
Thundurus-Therian,1336739,42050,0.0084081,"[3084, 87, 78, 60]"
Weavile,1336739,225972,0.1635845,"[13794, 93, 82, 65]"
Glastrier,1336739,11168,0.0030163,"[1064, 87, 80, 59]"
Tornadus-Therian,1336739,148376,0.1245816,"[11148, 89, 82, 65]"
Gigalith,1336739,9061,0.0009084,"[730, 88, 76, 57]"
Volcanion,1336739,34521,0.0113543,"[2616, 90, 80, 60]"
Tyranitar,1336739,214766,0.0504442,"[15884, 89, 78, 60]"
Aegislash,1336739,83951,0.0235062,"[6677, 88, 80, 61]"
Registeel,1336739,10854,0.0005133,"[1008, 85, 71, 55]"
Xatu,1336739,10398,0.0017422,"[842, 85, 81, 59]"
Nihilego,1336739,28516,0.0051832,"[2204, 87, 77, 59]"
Sceptile,1336739,21593,0.0003465,"[2165, 81, 69, 55]"
Charizard,1336739,38526,0.0010771,"[3939, 86, 71, 55]"
Miltank,1336739,6184,0.0001012,"[549, 79, 70, 54]"
Pikachu,1336739,11623,0.0006081,"[1400, 82, 69, 53]"
Zoroark,1336739,32057,0.0008548,"[2527, 83, 70, 55]"
Salazzle,1336739,29147,0.0013977,"[2131, 85, 73, 56]"
Shuckle,1336739,47619,0.0035985,"[3697, 87, 75, 56]"
Galvantula,1336739,28639,0.0005762,"[2622, 86, 69, 55]"
Abomasnow,1336739,5361,0.0001162,"[587, 80, 75, 55]"
Tsareena,1336739,8053,0.0001726,"[653, 80, 71, 55]"
Crustle,1336739,3354,0.0001183,"[325, 78, 74, 54]"
Clefable,1336739,408000,0.2503944,"[25208, 90, 81, 63]"
Jellicent,1336739,7343,0.0003636,"[681, 84, 74, 58]"
Shiftry,1336739,4115,0.0001185,"[471, 75, 72, 55]"
Stakataka,1336739,16590,0.0007174,"[1507, 82, 76, 58]"
Mienshao,1336739,15268,0.0006986,"[1436, 80, 73, 57]"
Cryogonal,1336739,4270,0.0003121,"[342, 78, 75, 56]"
Ninetales-Alola,1336739,61282,0.0159379,"[4293, 88, 80, 61]"
Ludicolo,1336739,9343,0.0001179,"[898, 80, 72, 54]"
Claydol,1336739,6004,0.0002494,"[583, 81, 72, 55]"
Clawitzer,1336739,6406,0.0001362,"[555, 79, 73, 56]"
Vanilluxe,1336739,5723,0.0004646,"[544, 80, 74, 58]"
Hatterene,1336739,80377,0.0228571,"[5313, 89, 77, 61]"
Rotom-Heat,1336739,50423,0.0072628,"[4422, 87, 76, 59]"
Malamar,1336739,9826,0.0007774,"[853, 86, 73, 55]"
Entei,1336739,11817,0.0006979,"[880, 82, 78, 59]"
Tangrowth,1336739,56354,0.0266486,"[4948, 88, 81, 63]"
Lycanroc-Dusk,1336739,28189,0.0020411,"[2146, 86, 76, 59]"
Regice,1336739,8169,0.0001356,"[825, 77, 69, 54]"
Armaldo,1336739,2999,0.000188,"[350, 79, 71, 54]"
Sandaconda,1336739,16061,0.0011697,"[1384, 83, 73, 55]"
Espeon,1336739,28522,0.0011377,"[2131, 85, 73, 55]"
Bouffalant,1336739,3912,0.000524,"[383, 82, 76, 58]"
Ninetales,1336739,14950,0.0002055,"[1469, 81, 70, 55]"
Kartana,1336739,346033,0.1566501,"[20548, 93, 81, 63]"
Dunsparce,1336739,3169,0.0009159,"[309, 84, 65, 53]"
Azumarill,1336739,71634,0.0161267,"[5385, 88, 78, 60]"
Runerigus,1336739,7005,0.0001196,"[637, 74, 68, 55]"
Aerodactyl,1336739,11229,0.0003496,"[1031, 80, 70, 55]"
Articuno,1336739,5478,0.0001618,"[645, 79, 75, 55]"
Jirachi,1336739,71856,0.0104813,"[5349, 90, 78, 61]"
Inteleon,1336739,20653,0.0003971,"[1907, 84, 69, 55]"
Hydreigon,1336739,150170,0.0557229,"[12771, 88, 80, 61]"
Golisopod,1336739,12506,0.0009434,"[1097, 81, 73, 55]"
Shedinja,1336739,23990,0.007214,"[1848, 86, 79, 59]"
Sawk,1336739,2148,0.0001098,"[216, 77, 70, 53]"
Azelf,1336739,25002,0.0012757,"[1872, 81, 76, 59]"
Gallade,1336739,8934,0.0003544,"[841, 78, 68, 53]"
Skarmory,1336739,125766,0.0540951,"[9092, 90, 81, 62]"
Altaria,1336739,4264,0.0001756,"[549, 79, 72, 55]"
Hitmontop,1336739,9673,0.0004041,"[775, 84, 73, 57]"
Obstagoon,1336739,24269,0.0011381,"[2155, 82, 74, 59]"
Kingdra,1336739,38308,0.0041192,"[3056, 84, 76, 61]"
