pokemon,number_of_battles,Raw count,usage,Viability Ceiling
Porygon-Z,1485104,23107,0.002647,"[1478, 85, 77, 59]"
Mandibuzz,1485104,229513,0.1622258,"[12584, 90, 81, 64]"
Toxicroak,1485104,10743,0.0007076,"[780, 85, 71, 54]"
Volcarona,1485104,291244,0.0708475,"[14866, 88, 78, 61]"
Accelgor,1485104,10396,0.0003109,"[757, 78, 72, 55]"
Raichu-Alola,1485104,21728,0.0023298,"[1601, 88, 75, 58]"
Roserade,1485104,20262,0.0008646,"[1584, 83, 71, 56]"
Spiritomb,1485104,8811,0.0001111,"[710, 74, 66, 54]"
Trubbish,1485104,387,0.0001226,"[27, 84, 84, 62]"
Archeops,1485104,6459,0.0001682,"[506, 80, 72, 54]"
Snorlax,1485104,37289,0.0053881,"[2740, 86, 77, 55]"
Uxie,1485104,11127,0.0009885,"[723, 83, 73, 57]"
Kangaskhan,1485104,2821,0.0001005,"[241, 77, 71, 52]"
Regirock,1485104,8737,0.0005661,"[691, 79, 75, 54]"
Vanilluxe,1485104,11569,0.0014763,"[768, 81, 76, 61]"
Barraskewda,1485104,170224,0.0196475,"[10484, 85, 76, 59]"
Mimikyu,1485104,49690,0.0014925,"[3039, 81, 71, 55]"
Poliwrath,1485104,11123,0.0001331,"[818, 81, 67, 54]"
Machamp,1485104,13315,0.0001693,"[931, 74, 67, 54]"
Tornadus,1485104,8111,0.0004548,"[638, 80, 74, 60]"
Cresselia,1485104,19348,0.0028198,"[1213, 83, 79, 62]"
Xurkitree,1485104,21504,0.0007039,"[1452, 78, 73, 57]"
Bronzong,1485104,9654,0.0004215,"[753, 82, 73, 56]"
Chansey,1485104,57039,0.0342662,"[3505, 90, 80, 59]"
Blaziken,1485104,154860,0.0101639,"[8647, 85, 75, 59]"
Diggersby,1485104,34494,0.0032731,"[2000, 86, 79, 62]"
Magearna,1485104,385120,0.1861522,"[17904, 90, 80, 64]"
Articuno-Galar,1485104,10998,0.000475,"[864, 80, 72, 55]"
Absol,1485104,8504,0.0002345,"[631, 75, 67, 54]"
Garchomp,1485104,479007,0.1472903,"[23898, 89, 79, 62]"
Pincurchin,1485104,6137,0.0001761,"[620, 77, 72, 54]"
Slurpuff,1485104,33803,0.001658,"[1982, 85, 72, 58]"
Ferrothorn,1485104,547849,0.1819004,"[25962, 90, 79, 62]"
Eldegoss,1485104,4397,0.0005416,"[337, 84, 80, 59]"
Zapdos-Galar,1485104,188185,0.0276377,"[10438, 87, 77, 62]"
Kommo-o,1485104,77993,0.029555,"[4248, 88, 79, 60]"
Darmanitan,1485104,31028,0.0006656,"[2114, 79, 72, 57]"
Milotic,1485104,35610,0.0017828,"[2270, 83, 69, 55]"
Ditto,1485104,49907,0.0074715,"[2966, 84, 76, 59]"
Aerodactyl,1485104,14434,0.000682,"[1064, 80, 70, 55]"
Marowak-Alola,1485104,40163,0.0045848,"[2443, 85, 76, 61]"
Toxapex,1485104,369535,0.2664366,"[19697, 90, 81, 62]"
Dhelmise,1485104,7534,0.0005303,"[546, 85, 72, 56]"
Latias,1485104,59743,0.0159879,"[3869, 88, 80, 62]"
Landorus-Therian,1485104,800897,0.3826018,"[31290, 90, 80, 64]"
Lapras,1485104,14183,0.00024,"[987, 78, 68, 54]"
Bisharp,1485104,89967,0.0451144,"[5060, 88, 82, 62]"
Toxtricity,1485104,35733,0.0066121,"[2388, 88, 77, 56]"
Krookodile,1485104,72362,0.0116369,"[4720, 86, 75, 60]"
Lucario,1485104,36945,0.0005382,"[2962, 83, 68, 54]"
Sirfetch'd,1485104,10106,0.0006779,"[838, 81, 70, 55]"
Aurorus,1485104,6297,0.0010368,"[517, 81, 72, 56]"
Mantine,1485104,9928,0.001091,"[690, 83, 74, 59]"
Nidoqueen,1485104,11563,0.0022184,"[799, 85, 81, 60]"
Regidrago,1485104,19476,0.0015126,"[1552, 84, 76, 58]"
Thundurus,1485104,11455,0.000515,"[918, 85, 75, 59]"
Doublade,1485104,5656,0.0001082,"[478, 75, 65, 53]"
Scolipede,1485104,19942,0.0024637,"[1361, 88, 77, 56]"
