pokemon,number_of_battles,Raw count,usage,Viability Ceiling
Milotic,1398223,35970,0.001138,"[2349, 83, 69, 55]"
Ditto,1398223,42381,0.0251133,"[2888, 91, 81, 59]"
Flygon,1398223,12611,0.0009727,"[991, 83, 73, 54]"
Marowak-Alola,1398223,35046,0.0051164,"[2294, 87, 78, 61]"
Toxapex,1398223,315303,0.1830771,"[19795, 91, 81, 62]"
Dhelmise,1398223,7898,0.0001248,"[616, 77, 75, 58]"
Latias,1398223,42502,0.0090899,"[2977, 88, 80, 62]"
Landorus-Therian,1398223,828964,0.4608669,"[36487, 90, 81, 64]"
Lapras,1398223,11261,0.0002041,"[925, 83, 71, 53]"
Bisharp,1398223,250608,0.0753717,"[15133, 89, 80, 61]"
Toxtricity,1398223,29995,0.0051193,"[2240, 88, 78, 57]"
Kyurem,1398223,206242,0.0755126,"[12180, 89, 81, 64]"
Lucario,1398223,34421,0.0004298,"[2915, 81, 68, 54]"
Sirfetch'd,1398223,10298,0.0010068,"[931, 82, 73, 55]"
Aurorus,1398223,16266,0.0009601,"[1190, 83, 72, 59]"
Mantine,1398223,11710,0.0017223,"[736, 87, 77, 59]"
Frosmoth,1398223,6861,0.0001101,"[569, 77, 72, 55]"
Nidoqueen,1398223,9239,0.0014795,"[754, 86, 80, 59]"
Cinccino,1398223,11158,0.000194,"[764, 84, 69, 53]"
Regidrago,1398223,14227,0.000744,"[1243, 88, 76, 57]"
Scolipede,1398223,17896,0.0009332,"[1353, 84, 74, 55]"
Aggron,1398223,14572,0.0003475,"[1243, 81, 71, 55]"
Slowbro,1398223,231125,0.0874712,"[14212, 89, 80, 64]"
Heliolisk,1398223,12345,0.0001519,"[957, 80, 70, 55]"
Arcanine,1398223,28881,0.0003368,"[2089, 77, 68, 55]"
Omastar,1398223,9518,0.0027825,"[664, 87, 83, 61]"
Corsola-Galar,1398223,21663,0.000199,"[1348, 74, 67, 55]"
Pyukumuku,1398223,11803,0.0006179,"[804, 84, 75, 59]"
Victini,1398223,96827,0.0361429,"[5931, 89, 80, 63]"
Cofagrigus,1398223,9167,0.0002485,"[560, 76, 71, 56]"
Venusaur,1398223,62310,0.0077078,"[4450, 87, 76, 58]"
Magnezone,1398223,164886,0.0713232,"[11233, 90, 81, 63]"
Volcanion,1398223,30824,0.0037892,"[2122, 88, 75, 59]"
Rhyperior,1398223,25356,0.0030515,"[2090, 87, 77, 59]"
Latios,1398223,105374,0.0169762,"[6802, 88, 78, 61]"
Tapu Bulu,1398223,29112,0.0040021,"[2140, 86, 79, 61]"
Incineroar,1398223,36996,0.0051746,"[2894, 88, 73, 56]"
Moltres-Galar,1398223,29234,0.030615,"[2066, 88, 82, 61]"
Araquanid,1398223,20016,0.0027064,"[1287, 86, 74, 58]"
Moltres,1398223,65830,0.0165332,"[4397, 89, 78, 62]"
Cloyster,1398223,105333,0.0165771,"[5812, 88, 79, 60]"
Tauros,1398223,8040,0.0001455,"[575, 81, 77, 56]"
Klefki,1398223,24021,0.0012749,"[1643, 87, 76, 58]"
Togekiss,1398223,81049,0.0037517,"[5471, 87, 73, 57]"
Dracozolt,1398223,67851,0.0137405,"[4738, 88, 78, 62]"
Salamence,1398223,53019,0.0041178,"[3678, 85, 74, 57]"
Arctozolt,1398223,28177,0.0030246,"[1694, 86, 79, 63]"
Metagross,1398223,34407,0.0007796,"[2795, 80, 70, 55]"
Haxorus,1398223,28134,0.0047734,"[2126, 89, 75, 56]"
Vikavolt,1398223,9061,0.0001291,"[689, 78, 70, 55]"
Hitmonlee,1398223,10841,0.0001073,"[736, 76, 69, 54]"
Wigglytuff,1398223,3094,0.0002473,"[260, 81, 80, 55]"
Porygon2,1398223,33191,0.0028979,"[2297, 87, 77, 59]"
Melmetal,1398223,202434,0.054473,"[12978, 89, 79, 62]"
Crawdaunt,1398223,65851,0.0375367,"[4431, 89, 81, 63]"
Electivire,1398223,9263,0.0001389,"[779, 80, 67, 54]"
Mamoswine,1398223,77853,0.0127686,"[4691, 88, 79, 62]"
Trubbish,1398223,248,0.0006045,"[23, 82, 82, 49]"
Druddigon,1398223,7881,0.0001502,"[652, 83, 71, 56]"
Rotom-Heat,1398223,57778,0.0034507,"[4387, 86, 74, 58]"
Mew,1398223,100246,0.0517032,"[6130, 89, 81, 61]"
Celesteela,1398223,49663,0.0038338,"[3231, 86, 75, 61]"
Hippowdon,1398223,144870,0.0977493,"[10290, 91, 82, 63]"
Centiskorch,1398223,8770,0.0006382,"[627, 81, 70, 54]"
Blissey,1398223,259267,0.1250935,"[16200, 91, 81, 63]"
Slowbro-Galar,1398223,18761,0.0006055,"[1376, 83, 73, 56]"
Politoed,1398223,16727,0.0002113,"[1281, 79, 70, 55]"
Noctowl,1398223,3546,0.0001923,"[259, 82, 75, 57]"
Meowstic,1398223,5397,0.0001041,"[331, 77, 67, 52]"
Kabutops,1398223,7790,0.0002335,"[655, 79, 74, 57]"
Buzzwole,1398223,60535,0.0407644,"[4312, 90, 81, 62]"
Sylveon,1398223,25786,0.0069484,"[1948, 88, 74, 55]"
Articuno,1398223,5602,0.0006113,"[511, 82, 75, 55]"
Amoonguss,1398223,42163,0.0159028,"[3356, 88, 78, 59]"
Urshifu-Rapid-Strike,1398223,295993,0.0880507,"[17150, 89, 80, 62]"
Seismitoad,1398223,55118,0.0229385,"[3804, 89, 80, 60]"
Aron,1398223,4345,0.000108,"[430, 73, 67, 53]"
Blacephalon,1398223,89826,0.0325481,"[5713, 89, 81, 62]"
Rotom-Wash,1398223,86033,0.0422678,"[5646, 89, 80, 60]"
Pelipper,1398223,152860,0.0320944,"[10113, 89, 78, 61]"
Avalugg,1398223,8097,0.0001643,"[635, 83, 73, 58]"
Talonflame,1398223,14841,0.0004365,"[1171, 83, 71, 53]"
Lycanroc,1398223,4628,0.0001085,"[412, 76, 71, 55]"
Umbreon,1398223,48289,0.0043671,"[3174, 87, 76, 58]"
Alakazam,1398223,61130,0.004622,"[4887, 87, 76, 57]"
Heracross,1398223,13389,0.0027921,"[1150, 87, 76, 56]"
Blastoise,1398223,27939,0.0002713,"[1934, 81, 70, 54]"
Palossand,1398223,7122,0.0003716,"[618, 81, 72, 56]"
Togedemaru,1398223,9166,0.000301,"[652, 80, 71, 53]"
Pangoro,1398223,5564,0.0005766,"[477, 83, 75, 55]"
Quagsire,1398223,48926,0.0417995,"[3250, 90, 82, 60]"
Jolteon,1398223,25097,0.0009955,"[1918, 83, 70, 56]"
Dragonite,1398223,252654,0.1312603,"[16127, 90, 80, 61]"
Zarude,1398223,18802,0.0101102,"[1641, 88, 82, 61]"
Gyarados,1398223,59527,0.0018146,"[4222, 86, 72, 56]"
Zygarde-10%,1398223,15387,0.0015446,"[1199, 83, 78, 60]"
Vaporeon,1398223,18018,0.0008811,"[1403, 78, 73, 55]"
Chandelure,1398223,34835,0.0009992,"[2498, 79, 69, 55]"
Froslass,1398223,8695,0.0002564,"[660, 85, 72, 55]"
Reuniclus,1398223,39574,0.0333159,"[2692, 89, 83, 63]"
Ribombee,1398223,29892,0.0010003,"[2064, 80, 75, 59]"
Heatran,1398223,473973,0.1912303,"[24524, 90, 80, 63]"
Tyrantrum,1398223,9398,0.0027737,"[770, 88, 72, 55]"
Dragapult,1398223,623819,0.2060004,"[33154, 91, 80, 62]"
Terrakion,1398223,33970,0.011605,"[2817, 88, 79, 61]"
Dubwool,1398223,6133,0.0002585,"[535, 82, 69, 55]"
Gardevoir,1398223,33266,0.0003446,"[2340, 77, 68, 53]"
Regieleki,1398223,215518,0.0237584,"[14149, 87, 75, 59]"
Conkeldurr,1398223,60432,0.0040105,"[4199, 88, 74, 58]"
Slowking,1398223,162338,0.1088619,"[10892, 90, 82, 66]"
Drampa,1398223,3914,0.0010967,"[321, 84, 76, 55]"
Stunfisk,1398223,2234,0.0024851,"[174, 86, 84, 58]"
Lopunny,1398223,6247,0.0005122,"[505, 86, 71, 55]"
Rotom-Mow,1398223,9429,0.0001268,"[634, 75, 71, 55]"
Audino,1398223,3361,0.0001043,"[256, 82, 75, 55]"
Hawlucha,1398223,219287,0.05096,"[13329, 89, 79, 62]"
Sandslash-Alola,1398223,15702,0.0018271,"[1224, 87, 81, 60]"
Roserade,1398223,17095,0.0001725,"[1437, 80, 69, 55]"
Drapion,1398223,14057,0.0004498,"[1181, 83, 72, 55]"
Torkoal,1398223,59746,0.0088567,"[3895, 87, 78, 60]"
Excadrill,1398223,240612,0.0415281,"[16437, 88, 78, 60]"
Polteageist,1398223,31640,0.0078497,"[1670, 89, 81, 59]"
Bewear,1398223,7361,0.0003184,"[516, 80, 73, 56]"
Comfey,1398223,13154,0.0035456,"[831, 88, 74, 58]"
Grimmsnarl,1398223,74305,0.0064619,"[5055, 89, 75, 58]"
Krookodile,1398223,50151,0.0018549,"[3542, 85, 72, 58]"
Regigigas,1398223,7155,0.0010746,"[741, 87, 69, 53]"
Arctovish,1398223,17450,0.0010651,"[1207, 83, 73, 60]"
Tentacruel,1398223,21010,0.0004254,"[1614, 77, 70, 56]"
Zeraora,1398223,268602,0.1005187,"[15908, 90, 80, 62]"
Gengar,1398223,122452,0.0085796,"[8123, 89, 76, 58]"
Swampert,1398223,219661,0.0453557,"[14021, 89, 78, 61]"
Corviknight,1398223,455609,0.2466483,"[25824, 91, 81, 63]"
Tapu Fini,1398223,215119,0.1308553,"[12656, 90, 81, 64]"
Zamazenta-Crowned,1398223,207187,0.2236081,"[11572, 90, 83, 69]"
Sableye,1398223,12764,0.0004143,"[1072, 82, 70, 55]"
Slowking-Galar,1398223,185192,0.1087432,"[11944, 90, 80, 64]"
Primarina,1398223,36584,0.0058456,"[2734, 88, 79, 60]"
Necrozma,1398223,11598,0.0025196,"[872, 89, 79, 61]"
Golurk,1398223,8880,0.0016262,"[720, 87, 80, 56]"
Suicune,1398223,22145,0.0071863,"[1575, 88, 81, 63]"
Indeedee,1398223,10555,0.0002628,"[724, 81, 73, 56]"
Scizor,1398223,115873,0.0379636,"[8008, 89, 81, 61]"
Nidoking,1398223,200265,0.0433312,"[12778, 89, 78, 61]"
Zapdos,1398223,278093,0.1203088,"[15891, 89, 80, 64]"
Cobalion,1398223,4784,0.0008415,"[453, 88, 78, 58]"
Rillaboom,1398223,467139,0.1455969,"[25113, 90, 80, 63]"
Raikou,1398223,11032,0.0001928,"[901, 78, 72, 57]"
Tapu Lele,1398223,238749,0.1000552,"[13648, 89, 80, 64]"
Gastrodon,1398223,37992,0.0137296,"[2594, 87, 82, 62]"
Tapu Koko,1398223,373893,0.1689909,"[20730, 90, 81, 63]"
Thundurus-Therian,1398223,47004,0.0064411,"[3197, 88, 79, 61]"
Weavile,1398223,146211,0.054723,"[9278, 89, 81, 63]"
Glastrier,1398223,11306,0.0011189,"[1008, 88, 77, 59]"
Tornadus-Therian,1398223,164066,0.0911389,"[10905, 90, 81, 64]"
Gigalith,1398223,8186,0.0001818,"[744, 79, 76, 55]"
Keldeo,1398223,35188,0.0127986,"[2755, 88, 78, 62]"
Tyranitar,1398223,234562,0.0749215,"[15280, 89, 79, 61]"
Aegislash,1398223,108238,0.0385285,"[7367, 88, 80, 61]"
Registeel,1398223,10972,0.0004721,"[898, 81, 71, 55]"
Cursola,1398223,5739,0.0001681,"[444, 84, 73, 55]"
Xatu,1398223,9918,0.0011471,"[668, 84, 76, 58]"
Nihilego,1398223,31772,0.0020994,"[2239, 87, 74, 59]"
Sceptile,1398223,24256,0.000202,"[1960, 75, 68, 54]"
Charizard,1398223,41380,0.0009631,"[3575, 84, 71, 55]"
Zoroark,1398223,20291,0.0005447,"[1551, 85, 72, 55]"
Salazzle,1398223,30115,0.0006582,"[1893, 85, 71, 55]"
Goodra,1398223,27131,0.0003185,"[1712, 81, 70, 55]"
Shuckle,1398223,51680,0.0141622,"[3571, 87, 77, 57]"
Galvantula,1398223,29765,0.000224,"[2016, 76, 67, 55]"
Abomasnow,1398223,4922,0.0003756,"[506, 86, 73, 54]"
Clefable,1398223,388019,0.2600948,"[22821, 91, 82, 63]"
Sigilyph,1398223,7673,0.0002365,"[582, 81, 71, 54]"
Jellicent,1398223,8675,0.0002749,"[615, 81, 72, 56]"
Shiftry,1398223,5372,0.0002166,"[469, 82, 74, 57]"
Stakataka,1398223,15913,0.0011143,"[1378, 86, 76, 58]"
Mienshao,1398223,15037,0.000664,"[1247, 82, 74, 57]"
Ninetales-Alola,1398223,91268,0.0158566,"[5418, 89, 79, 61]"
Ludicolo,1398223,10366,0.0002076,"[937, 75, 69, 53]"
Clawitzer,1398223,8066,0.000145,"[537, 75, 71, 55]"
Hatterene,1398223,74022,0.0088279,"[4303, 88, 77, 59]"
Starmie,1398223,15799,0.0053643,"[1275, 87, 78, 59]"
Malamar,1398223,12814,0.000196,"[862, 81, 69, 54]"
Cherrim,1398223,1326,0.0001552,"[149, 82, 74, 57]"
Entei,1398223,12185,0.0003537,"[794, 80, 74, 58]"
Tangrowth,1398223,68308,0.0446353,"[4929, 89, 82, 64]"
Lycanroc-Dusk,1398223,27206,0.0016736,"[1876, 84, 75, 58]"
Sandaconda,1398223,13437,0.0013612,"[981, 85, 77, 58]"
Espeon,1398223,32907,0.0024175,"[2011, 86, 77, 55]"
Diancie,1398223,8761,0.0003147,"[698, 80, 75, 56]"
Ninetales,1398223,17655,0.0001871,"[1346, 80, 71, 54]"
Kartana,1398223,313440,0.0988799,"[17912, 89, 79, 62]"
Azumarill,1398223,97908,0.0418816,"[6061, 88, 81, 62]"
Runerigus,1398223,7683,0.0001355,"[675, 77, 69, 55]"
Aerodactyl,1398223,11304,0.0002167,"[991, 81, 73, 54]"
Drednaw,1398223,2966,0.0001075,"[298, 74, 73, 54]"
Jirachi,1398223,58159,0.0052739,"[4107, 86, 77, 60]"
Inteleon,1398223,23220,0.0001748,"[1744, 81, 68, 55]"
Hydreigon,1398223,174175,0.0407612,"[12182, 88, 79, 61]"
Golisopod,1398223,14652,0.0002889,"[1049, 78, 69, 55]"
Shedinja,1398223,16932,0.021409,"[1266, 91, 83, 59]"
Mr. Rime,1398223,3159,0.0001416,"[323, 78, 75, 53]"
Azelf,1398223,24795,0.0009282,"[1708, 80, 74, 59]"
Tsareena,1398223,7832,0.0001416,"[529, 77, 70, 55]"
Skarmory,1398223,134966,0.0660073,"[8511, 89, 82, 63]"
Altaria,1398223,3737,0.0002015,"[389, 84, 76, 53]"
Whimsicott,1398223,20724,0.0001511,"[1360, 79, 71, 54]"
Obstagoon,1398223,30292,0.0035499,"[2379, 91, 75, 59]"
Kingdra,1398223,40798,0.0094293,"[2966, 89, 79, 60]"
