pokemon,number_of_battles,Raw count,usage,Viability Ceiling
Porygon-Z,1398223,17964,0.0006399,"[1301, 86, 73, 56]"
Mandibuzz,1398223,205185,0.0924582,"[12633, 90, 80, 64]"
Bronzong,1398223,10176,0.0001894,"[794, 77, 73, 57]"
Volcarona,1398223,381177,0.1221479,"[20682, 88, 80, 62]"
Accelgor,1398223,11078,0.0001134,"[846, 76, 70, 55]"
Raichu-Alola,1398223,19252,0.0011142,"[1485, 85, 74, 58]"
Thundurus,1398223,9843,0.0004685,"[781, 83, 76, 58]"
Toxicroak,1398223,13407,0.0001332,"[892, 74, 70, 55]"
Archeops,1398223,8461,0.000266,"[728, 83, 71, 55]"
Snorlax,1398223,34222,0.0038141,"[2818, 88, 75, 55]"
Vanilluxe,1398223,7689,0.0001471,"[652, 80, 72, 55]"
Barraskewda,1398223,93948,0.0192795,"[6555, 89, 78, 61]"
Mimikyu,1398223,47507,0.00265,"[3167, 83, 74, 56]"
Poliwrath,1398223,7895,0.0002038,"[579, 79, 75, 55]"
Machamp,1398223,12211,0.0001373,"[1086, 77, 71, 55]"
Tornadus,1398223,3967,0.0001798,"[303, 86, 70, 56]"
Cresselia,1398223,15789,0.0029895,"[1123, 86, 80, 62]"
Xurkitree,1398223,16421,0.0002959,"[1313, 82, 71, 57]"
Chansey,1398223,85916,0.0570767,"[5655, 90, 81, 62]"
Blaziken,1398223,150985,0.0094002,"[9456, 86, 74, 58]"
Diggersby,1398223,18047,0.0043509,"[1351, 87, 80, 60]"
Weezing-Galar,1398223,14928,0.0009131,"[1163, 85, 75, 57]"
Articuno-Galar,1398223,9200,0.0032674,"[755, 87, 75, 56]"
Garchomp,1398223,482389,0.2189911,"[26785, 91, 80, 63]"
Slurpuff,1398223,26746,0.0024,"[1625, 86, 74, 57]"
Ferrothorn,1398223,481771,0.1880169,"[25917, 90, 79, 61]"
Rapidash-Galar,1398223,3619,0.0001099,"[432, 81, 70, 53]"
Eldegoss,1398223,4002,0.0019826,"[313, 84, 77, 61]"
Zapdos-Galar,1398223,118286,0.0216961,"[7400, 87, 78, 62]"
Kommo-o,1398223,58667,0.0100128,"[3900, 89, 80, 60]"
Darmanitan,1398223,34279,0.0007062,"[2404, 79, 72, 57]"
