pokemon,number_of_battles,Raw count,usage,Viability Ceiling
Porygon-Z,1804169,32291,0.0028077,"[2201, 88, 76, 59]"
Mandibuzz,1804169,329572,0.1549491,"[17591, 90, 81, 64]"
Bronzong,1804169,11078,0.0004706,"[907, 76, 73, 55]"
Volcarona,1804169,282466,0.042197,"[15279, 88, 77, 60]"
Accelgor,1804169,24650,0.0003353,"[1535, 79, 72, 56]"
Raichu-Alola,1804169,39419,0.0053518,"[2679, 85, 76, 60]"
Thundurus,1804169,10264,0.0012917,"[820, 81, 75, 58]"
Toxicroak,1804169,14811,0.0003762,"[1030, 81, 71, 55]"
Spiritomb,1804169,12281,0.0001312,"[990, 75, 67, 54]"
Trubbish,1804169,245,0.0002044,"[35, 83, 83, 63]"
Stoutland,1804169,6121,0.0002608,"[618, 82, 72, 55]"
Archeops,1804169,8189,0.0003435,"[687, 84, 71, 55]"
Snorlax,1804169,47460,0.0106811,"[3569, 84, 79, 55]"
Uxie,1804169,11786,0.0027011,"[826, 85, 77, 60]"
Regice,1804169,10710,0.0002183,"[1061, 74, 68, 53]"
Kangaskhan,1804169,3025,0.0001113,"[296, 79, 71, 54]"
Regirock,1804169,10398,0.0002313,"[1028, 75, 68, 53]"
Slurpuff,1804169,21695,0.0001904,"[1409, 77, 70, 56]"
Vanilluxe,1804169,24166,0.0034492,"[1671, 85, 76, 62]"
Barraskewda,1804169,222993,0.0301263,"[14266, 86, 77, 60]"
Mimikyu,1804169,57138,0.001121,"[3781, 79, 70, 55]"
Poliwrath,1804169,7368,0.0003489,"[611, 78, 73, 55]"
Machamp,1804169,15660,0.0002702,"[1193, 82, 70, 55]"
Tornadus,1804169,5103,0.0006556,"[408, 85, 77, 59]"
Cresselia,1804169,24368,0.0036105,"[1761, 86, 78, 61]"
Xurkitree,1804169,20558,0.0007596,"[1534, 80, 71, 56]"
Chansey,1804169,64575,0.0157945,"[4377, 87, 77, 58]"
Blaziken,1804169,171560,0.0273582,"[10237, 87, 74, 59]"
Diggersby,1804169,42234,0.0113316,"[2820, 88, 80, 63]"
Magearna,1804169,627167,0.2634967,"[28243, 90, 80, 64]"
Articuno-Galar,1804169,12549,0.0005388,"[1175, 84, 72, 55]"
Absol,1804169,12319,0.0001566,"[950, 77, 70, 54]"
