pokemon,number_of_battles,Raw count,usage,Viability Ceiling
Zapdos-Galar,1628081,199118,0.0337762,"[9564, 88, 77, 62]"
Kommo-o,1628081,71767,0.0190762,"[3747, 88, 79, 60]"
Darmanitan,1628081,41175,0.0031227,"[2376, 85, 72, 58]"
Milotic,1628081,44396,0.001157,"[2493, 88, 69, 55]"
Ditto,1628081,52945,0.0157237,"[2820, 88, 78, 59]"
Aerodactyl,1628081,14678,0.0002752,"[1118, 76, 71, 55]"
Marowak-Alola,1628081,37043,0.0038455,"[1969, 83, 76, 60]"
Toxapex,1628081,380996,0.1618848,"[18448, 90, 80, 61]"
Dhelmise,1628081,8751,0.0001937,"[539, 81, 72, 56]"
Latias,1628081,57390,0.0117568,"[3164, 88, 81, 62]"
Mesprit,1628081,6209,0.0001343,"[292, 79, 71, 57]"
Landorus-Therian,1628081,856584,0.3805216,"[30126, 89, 80, 64]"
Lapras,1628081,14838,0.0002229,"[921, 76, 66, 53]"
Bisharp,1628081,155171,0.0948613,"[7173, 88, 82, 64]"
Toxtricity,1628081,37769,0.0110088,"[2379, 87, 80, 58]"
Kyurem,1628081,163752,0.0903955,"[7484, 89, 82, 66]"
Lucario,1628081,49902,0.0014796,"[3270, 83, 68, 54]"
Sirfetch'd,1628081,13859,0.0007803,"[1036, 85, 71, 55]"
Aurorus,1628081,6966,0.0009506,"[464, 84, 76, 56]"
Mantine,1628081,12412,0.0010997,"[728, 85, 75, 59]"
Frosmoth,1628081,8329,0.0024748,"[590, 86, 69, 54]"
Nidoqueen,1628081,12668,0.0035904,"[754, 85, 80, 59]"
Cinccino,1628081,14710,0.0003871,"[817, 80, 67, 53]"
Regidrago,1628081,19139,0.0023792,"[1321, 88, 76, 58]"
Sharpedo,1628081,10882,0.0001584,"[682, 77, 71, 55]"
Chandelure,1628081,42253,0.0006135,"[2405, 81, 68, 55]"
Scolipede,1628081,23225,0.0017264,"[1317, 86, 75, 56]"
Aggron,1628081,16647,0.0002338,"[1088, 82, 68, 54]"
Togekiss,1628081,90212,0.0129745,"[5031, 89, 74, 57]"
Heliolisk,1628081,17776,0.0003418,"[1040, 84, 69, 56]"
Celebi,1628081,8501,0.0005409,"[552, 81, 73, 55]"
Arcanine,1628081,34769,0.0004104,"[1972, 79, 68, 55]"
Omastar,1628081,12616,0.0083572,"[628, 87, 84, 64]"
Corsola-Galar,1628081,27390,0.000614,"[1457, 79, 68, 56]"
Pyukumuku,1628081,11724,0.0006135,"[630, 83, 74, 58]"
Victini,1628081,89088,0.0332701,"[4626, 89, 80, 63]"
Cofagrigus,1628081,9786,0.0001413,"[564, 70, 70, 55]"
Venusaur,1628081,78565,0.0052453,"[4419, 85, 74, 58]"
Scrafty,1628081,11137,0.0003585,"[577, 79, 66, 53]"
Magnezone,1628081,131225,0.0938387,"[6658, 89, 82, 65]"
Volcanion,1628081,46401,0.0032796,"[2288, 87, 75, 59]"
Rhyperior,1628081,40734,0.0041177,"[2653, 86, 76, 60]"
Latios,1628081,200370,0.0232531,"[10042, 87, 77, 61]"
Durant,1628081,10486,0.0002663,"[723, 79, 67, 54]"
Tapu Bulu,1628081,32720,0.0066411,"[2055, 88, 80, 62]"
Incineroar,1628081,47079,0.0059285,"[2925, 87, 72, 56]"
Moltres-Galar,1628081,38380,0.0129746,"[2249, 88, 80, 60]"
Araquanid,1628081,23721,0.0007571,"[1280, 82, 72, 57]"
Moltres,1628081,139594,0.0160633,"[7397, 84, 77, 61]"
Cloyster,1628081,108551,0.0323928,"[4649, 88, 80, 60]"
Tauros,1628081,8227,0.0005028,"[512, 83, 70, 55]"
Klefki,1628081,26727,0.0040033,"[1393, 86, 76, 57]"
Slowbro,1628081,266608,0.081266,"[12855, 89, 79, 63]"
Dracozolt,1628081,97020,0.0335941,"[5150, 88, 79, 62]"
Salamence,1628081,65486,0.0043342,"[3806, 83, 74, 58]"
Arctozolt,1628081,21205,0.0132982,"[1121, 88, 83, 62]"
Metagross,1628081,48561,0.00085,"[2854, 85, 70, 55]"
Haxorus,1628081,33460,0.0046596,"[2285, 86, 74, 57]"
Vikavolt,1628081,11627,0.0002021,"[738, 79, 72, 55]"
Hitmonlee,1628081,14297,0.0001978,"[780, 78, 68, 55]"
Porygon2,1628081,37844,0.0026071,"[2033, 87, 75, 59]"
Melmetal,1628081,260608,0.075139,"[12828, 93, 79, 62]"
Crawdaunt,1628081,83015,0.0385366,"[4355, 87, 80, 64]"
Electivire,1628081,15055,0.0001961,"[871, 78, 68, 54]"
Mamoswine,1628081,100486,0.0219038,"[4769, 88, 80, 62]"
Goodra,1628081,33162,0.0002907,"[1643, 77, 69, 55]"
Dusknoir,1628081,8810,0.000156,"[500, 78, 72, 54]"
Rotom-Heat,1628081,72681,0.0037595,"[4330, 86, 74, 58]"
Mew,1628081,105031,0.0356267,"[4982, 89, 80, 60]"
Celesteela,1628081,63557,0.0057867,"[3236, 86, 77, 61]"
Hippowdon,1628081,162598,0.069617,"[8871, 90, 80, 62]"
Centiskorch,1628081,10407,0.0001071,"[648, 79, 71, 53]"
Morpeko,1628081,10219,0.0001356,"[579, 76, 66, 54]"
Duraludon,1628081,6627,0.0001067,"[629, 72, 68, 54]"
Blissey,1628081,266547,0.1158354,"[13377, 93, 80, 62]"
Slowbro-Galar,1628081,21890,0.0009299,"[1348, 84, 74, 56]"
Politoed,1628081,20715,0.0003042,"[1290, 77, 70, 55]"
Gothitelle,1628081,1333,0.0001191,"[116, 77, 70, 51]"
Buzzwole,1628081,134498,0.0216416,"[7489, 86, 77, 60]"
Exploud,1628081,10110,0.0004728,"[645, 82, 77, 58]"
Sylveon,1628081,31828,0.0123631,"[1794, 88, 78, 55]"
Decidueye,1628081,12599,0.000227,"[866, 79, 67, 52]"
Steelix,1628081,11036,0.000729,"[780, 85, 74, 54]"
Amoonguss,1628081,50546,0.0185218,"[3297, 87, 79, 59]"
Urshifu-Rapid-Strike,1628081,370347,0.101302,"[16493, 90, 79, 62]"
Seismitoad,1628081,66240,0.013802,"[3614, 87, 77, 61]"
Crobat,1628081,21168,0.0001781,"[1357, 75, 68, 54]"
Linoone,1628081,11854,0.0001256,"[745, 74, 70, 54]"
Flapple,1628081,3407,0.0001645,"[292, 78, 72, 54]"
Blacephalon,1628081,111289,0.0217346,"[5351, 89, 79, 62]"
Rotom-Wash,1628081,100711,0.0189517,"[5073, 89, 78, 60]"
Pelipper,1628081,238162,0.0368523,"[11471, 87, 78, 61]"
Avalugg,1628081,7437,0.0005713,"[485, 85, 75, 55]"
Talonflame,1628081,18539,0.0002767,"[1211, 84, 66, 53]"
Seadra,1628081,468,0.0001031,"[24, 81, 81, 61]"
Lycanroc,1628081,6113,0.0005309,"[368, 84, 77, 54]"
Umbreon,1628081,64671,0.0047405,"[3346, 84, 75, 59]"
Alakazam,1628081,67089,0.0039201,"[4064, 86, 75, 58]"
Dragalge,1628081,8315,0.0001799,"[568, 79, 73, 56]"
Heracross,1628081,19088,0.0085903,"[1226, 87, 74, 57]"
Blastoise,1628081,31569,0.0007791,"[1816, 80, 72, 54]"
Palossand,1628081,5054,0.0001962,"[332, 80, 72, 54]"
Pangoro,1628081,7186,0.0001204,"[466, 78, 73, 56]"
Quagsire,1628081,50034,0.0170546,"[2674, 89, 79, 58]"
Jolteon,1628081,19821,0.0001138,"[1324, 73, 64, 54]"
Dragonite,1628081,289673,0.073438,"[14234, 88, 79, 60]"
Zarude,1628081,21128,0.013848,"[1482, 89, 80, 60]"
Gyarados,1628081,77064,0.0032029,"[4282, 86, 73, 57]"
Zygarde-10%,1628081,13137,0.002319,"[897, 89, 75, 59]"
Vaporeon,1628081,20313,0.0016171,"[1220, 84, 76, 55]"
Virizion,1628081,6424,0.0006716,"[525, 84, 74, 57]"
Froslass,1628081,12860,0.0002969,"[694, 76, 71, 55]"
Reuniclus,1628081,51851,0.032854,"[2627, 89, 83, 64]"
Ribombee,1628081,37461,0.0014195,"[1972, 79, 73, 59]"
Heatran,1628081,530483,0.233001,"[21936, 89, 80, 63]"
Barbaracle,1628081,5632,0.0001429,"[388, 80, 74, 55]"
Tyrantrum,1628081,13599,0.0005559,"[913, 83, 75, 58]"
Dragapult,1628081,667469,0.288612,"[28431, 93, 79, 62]"
Terrakion,1628081,45741,0.0058861,"[2795, 86, 77, 62]"
Gardevoir,1628081,41467,0.0007502,"[2391, 80, 67, 55]"
Regieleki,1628081,288111,0.0420362,"[14552, 88, 75, 59]"
Conkeldurr,1628081,74262,0.0064251,"[4072, 90, 74, 58]"
Slowking,1628081,100484,0.1272117,"[5153, 89, 83, 68]"
Drampa,1628081,3437,0.0012472,"[272, 83, 79, 54]"
Stunfisk,1628081,2831,0.005832,"[183, 85, 85, 59]"
Lopunny,1628081,5224,0.0008208,"[327, 86, 75, 53]"
Rotom-Mow,1628081,9356,0.0001623,"[647, 75, 69, 55]"
Audino,1628081,3311,0.000305,"[256, 80, 79, 59]"
Hawlucha,1628081,233618,0.0395996,"[11088, 88, 77, 61]"
Sandslash-Alola,1628081,9657,0.0122825,"[646, 88, 83, 58]"
Roserade,1628081,23946,0.0002602,"[1564, 77, 69, 55]"
Drapion,1628081,14043,0.000103,"[788, 78, 68, 54]"
Torkoal,1628081,77781,0.0063227,"[4059, 85, 76, 59]"
Excadrill,1628081,310524,0.0762792,"[16114, 88, 78, 60]"
Polteageist,1628081,37978,0.0034356,"[1528, 87, 79, 57]"
Bewear,1628081,8737,0.0004591,"[455, 79, 73, 55]"
Whimsicott,1628081,22227,0.0005443,"[1378, 84, 72, 55]"
Grimmsnarl,1628081,90455,0.0066064,"[4863, 86, 74, 58]"
Cradily,1628081,9817,0.0002231,"[594, 74, 70, 53]"
Regigigas,1628081,9536,0.0002127,"[751, 81, 70, 55]"
Arctovish,1628081,9802,0.0011601,"[560, 85, 76, 56]"
Tentacruel,1628081,22483,0.0012174,"[1466, 86, 70, 56]"
Kingler,1628081,5725,0.0002149,"[387, 77, 74, 55]"
Zeraora,1628081,182431,0.0911819,"[8871, 90, 81, 63]"
Gengar,1628081,144205,0.010471,"[7724, 84, 75, 58]"
Swampert,1628081,263172,0.0650685,"[13232, 90, 78, 61]"
Corviknight,1628081,497933,0.236915,"[22360, 93, 80, 63]"
Tapu Fini,1628081,266626,0.0969051,"[12190, 88, 80, 63]"
Articuno-Galar,1628081,11032,0.0001658,"[773, 77, 70, 55]"
Sableye,1628081,13648,0.0003839,"[879, 84, 69, 55]"
Slowking-Galar,1628081,259788,0.1040027,"[12278, 90, 80, 63]"
Primarina,1628081,43031,0.0111239,"[2431, 89, 80, 59]"
Necrozma,1628081,15123,0.0028119,"[859, 84, 81, 60]"
Eldegoss,1628081,4225,0.0002477,"[307, 76, 71, 58]"
Golurk,1628081,11104,0.000283,"[728, 77, 71, 55]"
Suicune,1628081,29551,0.0084734,"[1643, 88, 80, 62]"
Indeedee,1628081,12767,0.0002811,"[730, 86, 72, 56]"
Scizor,1628081,131795,0.0536413,"[6860, 89, 81, 61]"
Manectric,1628081,5639,0.0002638,"[332, 76, 69, 54]"
Nidoking,1628081,259455,0.0527207,"[12716, 90, 78, 61]"
Zapdos,1628081,302466,0.1077962,"[13633, 89, 80, 64]"
Cobalion,1628081,6407,0.0002063,"[455, 82, 75, 57]"
Rillaboom,1628081,538351,0.1738132,"[22735, 89, 79, 63]"
Raikou,1628081,18497,0.002998,"[1148, 83, 74, 60]"
Tapu Lele,1628081,288450,0.1235733,"[12906, 93, 80, 64]"
Gastrodon,1628081,50228,0.0224291,"[2709, 89, 82, 61]"
Tapu Koko,1628081,429874,0.1098549,"[18327, 89, 79, 63]"
Thundurus-Therian,1628081,70999,0.0158356,"[3667, 87, 80, 62]"
Weavile,1628081,186320,0.0849917,"[8627, 89, 82, 62]"
Glastrier,1628081,14897,0.0024573,"[1097, 85, 77, 59]"
Tornadus-Therian,1628081,215326,0.1038634,"[10703, 90, 81, 64]"
Gigalith,1628081,10932,0.0003953,"[692, 86, 73, 56]"
Keldeo,1628081,47294,0.0139166,"[2676, 88, 79, 63]"
Tyranitar,1628081,295800,0.0911692,"[14850, 88, 79, 61]"
Aegislash,1628081,143751,0.0226628,"[7736, 88, 78, 61]"
Lycanroc-Midnight,1628081,7988,0.0001561,"[558, 76, 71, 56]"
Registeel,1628081,12891,0.0002358,"[870, 80, 72, 55]"
Xatu,1628081,13313,0.0035837,"[674, 86, 79, 57]"
Nihilego,1628081,40597,0.0040712,"[2152, 85, 75, 59]"
Sceptile,1628081,31696,0.0004303,"[1994, 82, 68, 55]"
Charizard,1628081,57355,0.0014848,"[3854, 81, 72, 55]"
Trevenant,1628081,7179,0.0001154,"[456, 73, 65, 52]"
Pikachu,1628081,15432,0.0001602,"[1176, 80, 73, 54]"
Zoroark,1628081,30935,0.0006656,"[1692, 80, 70, 56]"
Salazzle,1628081,37296,0.0014116,"[1965, 85, 71, 56]"
Shuckle,1628081,65653,0.0052331,"[3421, 86, 74, 57]"
Gourgeist-Super,1628081,2375,0.000149,"[132, 76, 74, 55]"
Galvantula,1628081,37393,0.0005085,"[2077, 76, 67, 55]"
Abomasnow,1628081,6952,0.0016706,"[532, 86, 82, 54]"
Clefable,1628081,421914,0.2636558,"[19773, 90, 81, 63]"
Sigilyph,1628081,12434,0.0003235,"[646, 77, 72, 55]"
Jellicent,1628081,9922,0.0002858,"[648, 76, 73, 57]"
Stakataka,1628081,20474,0.0009706,"[1358, 79, 74, 59]"
Mienshao,1628081,18115,0.0005064,"[1063, 80, 72, 58]"
Cryogonal,1628081,4664,0.0003002,"[265, 79, 75, 55]"
Ninetales-Alola,1628081,95718,0.0479307,"[4607, 88, 80, 61]"
Ludicolo,1628081,14056,0.0002057,"[958, 75, 67, 55]"
Claydol,1628081,7370,0.0002626,"[502, 84, 71, 55]"
Clawitzer,1628081,6841,0.0001595,"[416, 76, 74, 56]"
Hatterene,1628081,85952,0.0078716,"[4171, 86, 76, 59]"
Starmie,1628081,19310,0.0129679,"[1148, 88, 76, 58]"
Escavalier,1628081,10802,0.0004684,"[790, 78, 72, 57]"
Entei,1628081,21283,0.0008178,"[1101, 86, 74, 60]"
Tangrowth,1628081,86044,0.045738,"[4843, 90, 81, 64]"
Lycanroc-Dusk,1628081,32909,0.0017523,"[1882, 85, 74, 57]"
Sandaconda,1628081,22226,0.002793,"[1198, 86, 76, 59]"
Espeon,1628081,39074,0.0015966,"[2055, 85, 76, 55]"
Diancie,1628081,9318,0.0002089,"[626, 81, 72, 55]"
Ninetales,1628081,21061,0.0002141,"[1289, 82, 69, 54]"
Kartana,1628081,408117,0.1254933,"[18150, 90, 80, 63]"
Azumarill,1628081,103170,0.0230185,"[5086, 87, 78, 61]"
Runerigus,1628081,9246,0.0003376,"[624, 79, 73, 55]"
Vileplume,1628081,9136,0.000173,"[485, 72, 69, 55]"
Articuno,1628081,7221,0.0004657,"[520, 80, 71, 55]"
Jirachi,1628081,75853,0.0134694,"[4003, 87, 78, 60]"
Dusclops,1628081,13603,0.0001322,"[793, 75, 65, 53]"
Inteleon,1628081,30025,0.0011614,"[1867, 83, 70, 55]"
Hydreigon,1628081,190318,0.0459005,"[10420, 90, 79, 61]"
Golisopod,1628081,16041,0.0002727,"[941, 78, 70, 55]"
Shedinja,1628081,17593,0.0089944,"[1079, 88, 78, 55]"
Azelf,1628081,34572,0.0027102,"[1827, 84, 74, 60]"
Tsareena,1628081,8649,0.0013215,"[536, 86, 70, 54]"
Skarmory,1628081,95909,0.0820348,"[5166, 90, 82, 63]"
Flygon,1628081,14527,0.0002623,"[923, 81, 71, 54]"
Altaria,1628081,4998,0.0004234,"[403, 80, 71, 53]"
Obstagoon,1628081,60913,0.0064385,"[3411, 85, 75, 61]"
Kingdra,1628081,53273,0.0050245,"[2964, 87, 77, 61]"
