pokemon,number_of_battles,Raw count,usage,Viability Ceiling
Porygon-Z,1628081,22791,0.0019628,"[1284, 86, 74, 56]"
Mandibuzz,1628081,247986,0.1209484,"[12183, 90, 80, 63]"
Swoobat,1628081,9350,0.0001876,"[574, 75, 70, 53]"
Bronzong,1628081,10912,0.0007824,"[725, 87, 74, 57]"
Volcarona,1628081,380267,0.0990563,"[17123, 90, 78, 61]"
Accelgor,1628081,15305,0.0005799,"[941, 80, 73, 56]"
Raichu-Alola,1628081,22192,0.0035661,"[1427, 85, 75, 58]"
Thundurus,1628081,13345,0.0005482,"[798, 82, 76, 58]"
Toxicroak,1628081,14773,0.0004393,"[848, 77, 73, 55]"
Archeops,1628081,10698,0.0002806,"[729, 80, 74, 57]"
Snorlax,1628081,41341,0.0016471,"[2523, 85, 76, 54]"
Uxie,1628081,12135,0.0003089,"[624, 81, 73, 58]"
Vanilluxe,1628081,13086,0.0014231,"[822, 86, 75, 58]"
Barraskewda,1628081,210910,0.0210283,"[11202, 87, 76, 60]"
Mimikyu,1628081,63459,0.0014028,"[3216, 82, 71, 55]"
Poliwrath,1628081,13025,0.0001918,"[737, 78, 71, 54]"
Machamp,1628081,16948,0.0003352,"[1181, 81, 70, 55]"
Butterfree,1628081,7493,0.0014004,"[444, 84, 67, 52]"
Cresselia,1628081,17866,0.0021011,"[970, 83, 79, 62]"
Xurkitree,1628081,21272,0.0009255,"[1283, 84, 72, 57]"
Chansey,1628081,76517,0.0440557,"[4042, 90, 80, 60]"
Blaziken,1628081,198860,0.014552,"[9474, 88, 75, 58]"
Diggersby,1628081,25781,0.0044298,"[1512, 84, 79, 61]"
Weezing-Galar,1628081,20333,0.0022074,"[1187, 84, 78, 57]"
Exeggutor-Alola,1628081,5083,0.0003779,"[339, 82, 72, 55]"
Exeggutor,1628081,5768,0.0001456,"[509, 81, 72, 55]"
Absol,1628081,8931,0.0001578,"[609, 78, 70, 55]"
Garchomp,1628081,554607,0.2262007,"[24024, 93, 79, 62]"
Farfetch'd,1628081,592,0.0001036,"[50, 75, 75, 51]"
Boltund,1628081,5268,0.0001526,"[370, 74, 71, 53]"
Slurpuff,1628081,32554,0.0007877,"[1674, 83, 70, 57]"
Comfey,1628081,19457,0.0002964,"[965, 79, 70, 57]"
Ferrothorn,1628081,652197,0.206745,"[26592, 90, 79, 62]"
Rapidash-Galar,1628081,3552,0.0001111,"[343, 78, 67, 50]"
Krookodile,1628081,64142,0.001362,"[3735, 80, 73, 58]"
